0,22949,68,19493,19458,37.935455
1,847,260,103,55,1.566528
2,473,51,81,32,1.087200
3,74,44,49,6,0.329728
4,640,48,318,267,1.349440
5,362,46,44,9,0.870816
6,300,53,189,151,0.733600
7,71,34,42,8,0.332800
8,1410,55,787,754,2.554720
9,243,43,236,193,0.617632
10,583,57,513,471,1.216960
11,189,43,112,76,0.546560
12,111,37,91,44,0.444256
13,97,38,81,33,0.369568
14,656,44,281,242,1.385600
15,605,43,277,229,1.262016
16,1331,53,718,676,2.410784
17,940,61,125,70,1.798240
18,5400,66,4008,3970,9.155328
19,68,30,60,20,0.350208
20,1019,59,952,903,2.004320
21,945,56,339,288,1.820608
22,597,55,497,465,1.280992
23,81,38,44,7,0.344064
24,260,48,221,171,0.685984
25,446,60,123,78,1.076704
26,512,55,335,291,1.160224
27,569,48,235,195,1.214944
28,334,44,194,146,0.810464
29,78,38,60,32,0.348160
30,79,36,64,30,0.334752
31,404,49,335,287,0.910464
32,80,32,73,27,0.336896
33,1488,51,1308,1265,2.693024
34,356,47,51,15,0.835264
35,569,57,82,31,1.217408
36,136,34,56,10,0.450112
37,303,42,294,257,0.694272
38,73,45,45,10,0.330944
39,101,44,44,8,0.377984
40,327,38,63,17,0.791584
41,328,56,148,112,0.797472
42,273,41,262,213,0.665568
43,215,41,108,70,0.605920
44,221,45,155,118,0.596992
45,528,52,348,296,1.165984
46,665,50,311,253,1.385440
47,291,58,147,122,0.705568
48,379,58,285,240,0.867552
49,233,37,63,29,0.628704
50,387,48,207,177,0.890560
