0,12308,62,,1208,59.866700
0,12308,55,,11531,54.059100
1,12308,62,,1208,61.400100
1,12308,55,,11531,54.238100
2,12308,62,,1208,62.016500
2,12308,55,,11531,53.947500
3,847,260,,103,4.072100
3,847,65,,499,3.856400
4,473,45,,162,2.406000
4,473,51,,81,2.216800
5,74,34,,36,0.511000
5,74,44,,49,0.413500
6,640,48,,318,3.178600
6,640,47,,107,2.949900
7,362,46,,44,1.930100
7,362,41,,245,1.824600
8,300,53,,189,1.708800
8,300,50,,272,1.500400
9,71,27,,60,0.441300
9,71,34,,42,0.403100
10,1410,51,,573,6.947800
10,1410,55,,787,6.465400
11,243,33,,119,1.287100
11,243,43,,236,1.160500
12,583,56,,189,2.998700
12,583,57,,513,2.775600
13,189,35,,119,1.075500
13,189,43,,112,0.999300
14,111,33,,76,0.668400
14,111,37,,91,0.628600
15,97,38,,81,0.564300
15,97,29,,33,0.528700
16,656,43,,264,3.353800
16,656,44,,281,3.060000
17,605,39,,427,3.177900
17,605,43,,277,2.816500
18,1331,47,,1284,6.529000
18,1331,53,,718,5.942900
19,940,61,,125,4.929100
19,940,56,,678,4.236200
20,5400,66,,4008,26.579100
20,5400,50,,2398,24.855900
21,68,27,,68,0.406200
21,68,30,,60,0.384000
22,1019,59,,952,5.037100
22,1019,56,,834,4.743300
23,945,56,,339,4.961500
23,945,49,,391,4.417100
24,597,50,,49,3.055200
24,597,55,,497,2.832800
25,81,35,,79,0.611300
25,81,38,,44,0.468800
26,260,48,,221,1.609700
26,260,34,,244,1.362500
27,446,46,,425,2.327900
27,446,60,,123,2.337400
28,512,43,,166,2.561900
28,512,55,,335,2.387200
29,569,48,,235,3.147700
29,569,44,,470,2.635500
30,334,39,,253,1.870700
30,334,44,,194,1.625000
31,78,38,,60,0.482700
31,78,30,,68,0.442500
32,79,35,,39,0.422300
32,79,36,,64,0.438300
33,404,49,,335,2.127900
33,404,43,,369,1.923100
34,80,31,,51,0.460200
34,80,32,,73,0.461100
35,1488,51,,1308,7.352200
35,1488,47,,209,6.844700
36,356,45,,324,1.856800
36,356,47,,51,1.717400
37,569,57,,82,2.904500
37,569,45,,224,2.781600
38,136,33,,135,0.764900
38,136,34,,56,0.742100
39,303,42,,294,1.597800
39,303,40,,302,1.737500
40,73,45,,45,0.434800
40,73,41,,51,0.414500
41,101,44,,44,0.558600
41,101,34,,70,0.575400
42,327,38,,63,1.736800
42,327,37,,61,1.905700
43,328,926232633,,187,1.724100
43,328,926232633,,187,1.715700
44,273,41,,262,1.718200
44,273,39,,168,1.580700
45,215,41,,108,1.396200
45,215,41,,149,1.079900
46,221,45,,155,1.593100
46,221,38,,123,1.176900
47,528,48,,227,2.652200
47,528,52,,348,2.495200
48,665,50,,311,3.244100
48,665,41,,112,3.072100
49,291,58,,147,1.679200
49,291,42,,218,1.646100
50,379,45,,148,1.915400
50,379,58,,285,1.793200
51,233,37,,63,1.261800
51,233,36,,38,1.209700
52,387,48,,207,1.931700
52,387,44,,32,1.785900
